episode: 1, label: NON VPN, confidence: 0.79

1.0, 0.0, NON VPN
0.0, 1.0, VPN
0.06, 0.94, VPN
1.0, 0.0, NON VPN
0.01, 0.99, VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.0, 1.0, VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.08, 0.92, VPN
0.99, 0.01, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.0, 1.0, VPN
1.0, 0.0, NON VPN
0.0, 1.0, VPN
0.99, 0.01, NON VPN
1.0, 0.0, NON VPN
0.95, 0.05, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.69, 0.31, NON VPN
1.0, 0.0, NON VPN

episode: 2, label: NON VPN, confidence: 0.73

0.99, 0.01, NON VPN
0.78, 0.22, NON VPN
1.0, 0.0, NON VPN
0.01, 0.99, VPN
0.01, 0.99, VPN
0.0, 1.0, VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.65, 0.35, NON VPN
0.0, 1.0, VPN
0.91, 0.09, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.12, 0.88, VPN
1.0, 0.0, NON VPN
0.0, 1.0, VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.46, 0.54, VPN
1.0, 0.0, NON VPN
0.0, 1.0, VPN
0.95, 0.05, NON VPN
0.0, 1.0, VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.97, 0.03, NON VPN
0.05, 0.95, VPN

episode: 3, label: NON VPN, confidence: 0.89

0.88, 0.12, NON VPN
1.0, 0.0, NON VPN
0.69, 0.31, NON VPN
0.0, 1.0, VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
0.0, 1.0, VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
1.0, 0.0, NON VPN
